ros_x,ros_y,area,center_x,center_y
-0.208,-0.43,2704,470,80
-0.208,-0.41,2209,454,97
-0.208,-0.39,1849,441,112
-0.208,-0.37,1521,431,125
-0.208,-0.35,1296,423,135
-0.208,-0.33,1156,415,144
-0.208,-0.31,1024,409,151
-0.208,-0.29,900,403,158
-0.208,-0.27,784,398,164
-0.22,-0.43,2704,427,80
-0.22,-0.41,2209,416,96
-0.22,-0.39,1849,407,111
-0.22,-0.37,1521,400,124
-0.22,-0.35,1296,393,135
-0.22,-0.33,1156,388,143
-0.22,-0.31,1024,383,151
-0.22,-0.29,900,379,158
-0.22,-0.27,784,375,164
-0.24,-0.43,2704,357,79
-0.24,-0.41,2209,352,96
-0.24,-0.39,1849,349,111
-0.24,-0.37,1521,347,124
-0.24,-0.35,1369,344,134
-0.24,-0.33,1156,342,143
-0.24,-0.31,961,341,151
-0.24,-0.29,900,339,157
-0.24,-0.27,784,338,164
-0.26,-0.43,2704,285,79
-0.26,-0.41,2209,288,96
-0.26,-0.39,1849,291,110
-0.26,-0.37,1521,293,124
-0.26,-0.35,1296,295,134
-0.26,-0.33,1156,297,143
-0.26,-0.31,1024,298,150
-0.26,-0.29,900,300,158
-0.26,-0.27,784,300,164
-0.28,-0.43,2704,214,78
-0.28,-0.41,2209,224,95
-0.28,-0.39,1849,233,110
-0.28,-0.37,1521,240,123
-0.28,-0.35,1296,246,134
-0.28,-0.33,1156,251,142
-0.28,-0.31,961,256,151
-0.28,-0.29,900,259,157
-0.28,-0.27,729,263,164
